Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782114242757466.560	,1782114242757466.580	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,787.240,1782114242842465.180	,1782114242843252.420	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,768.620,1782114242843402.720	,1782114242844171.340	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,767.360,1782114242844299.400	,1782114242845066.760	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,774.160,1782114242845183.820	,1782114242845957.980	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,767.940,1782114242846071.400	,1782114242846839.340	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,766.880,1782114242846955.160	,1782114242847722.040	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,768.980,1782114242847829.760	,1782114242848598.740	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,767.280,1782114242848711.040	,1782114242849478.320	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,767.400,1782114242849593.720	,1782114242850361.120	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,768.500,1782114242850469.780	,1782114242851238.280	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,771.280,1782114242851376.120	,1782114242852147.400	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,767.040,1782114242852271.140	,1782114242853038.180	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,769.540,1782114242853150.160	,1782114242853919.700	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,773.020,1782114242854034.080	,1782114242854807.100	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,768.820,1782114242854916.060	,1782114242855684.880	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,771.120,1782114242855792.780	,1782114242856563.900	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,767.340,1782114242856675.780	,1782114242857443.120	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,769.640,1782114242857558.040	,1782114242858327.680	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,769.640,1782114242858435.200	,1782114242859204.840	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,767.340,1782114242859316.860	,1782114242860084.200	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,769.900,1782114242860202.920	,1782114242860972.820	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782114242866561.400	,1782114242866561.420	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782114242866615.800	,1782114242866615.800	
