Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037847374911.100	,66.460,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1996600,0.0,0.028,0.0,0.214,0.0,0.038,0.0,0.271,0.0,0.152,0.168,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.450
0,4294967295,1,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037847375110.320	,53.940,132.790000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1570474,0.0,0.035,0.0,0.215,0.0,0.048,0.0,0.296,0.0,0.199,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.876
0,4294967295,2,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037847375283.880	,53.600,119.810000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1563817,0.0,0.035,0.0,0.213,0.0,0.049,0.0,0.294,0.0,0.201,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.044
0,4294967295,3,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037847375447.980	,54.400,110.400000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1571165,0.0,0.035,0.0,0.209,0.0,0.048,0.0,0.292,0.0,0.199,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.227
0,4294967295,4,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037847375607.360	,53.740,104.850000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1550122,0.0,0.035,0.0,0.216,0.0,0.049,0.0,0.294,0.0,0.198,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.125
0,4294967295,5,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037847375766.620	,53.580,105.510000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1571804,0.0,0.035,0.0,0.211,0.0,0.048,0.0,0.292,0.0,0.201,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.488
0,4294967295,6,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037847375925.240	,53.740,105.170000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1565842,0.0,0.035,0.0,0.208,0.0,0.049,0.0,0.292,0.0,0.199,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.937
0,4294967295,7,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037847376083.360	,53.720,104.260000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1570123,0.0,0.035,0.0,0.212,0.0,0.048,0.0,0.295,0.0,0.198,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.189
0,4294967295,8,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037847376240.700	,53.740,103.780000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1557442,0.0,0.035,0.0,0.215,0.0,0.049,0.0,0.299,0.0,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.503
0,4294967295,9,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037847376398.780	,53.520,104.260000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1552195,0.0,0.035,0.0,0.21,0.0,0.049,0.0,0.296,0.0,0.198,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.562
