Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037847351806.060	,1782037847351806.080	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,69.220,1782037847374909.560	,1782037847374978.780	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,56.100,1782037847375109.300	,1782037847375165.400	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,55.740,1782037847375282.640	,1782037847375338.380	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,56.120,1782037847375446.960	,1782037847375503.080	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,55.580,1782037847375606.240	,1782037847375661.820	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,55.400,1782037847375765.680	,1782037847375821.080	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,55.440,1782037847375924.240	,1782037847375979.680	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,55.360,1782037847376082.500	,1782037847376137.860	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,55.920,1782037847376239.280	,1782037847376295.200	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,55.520,1782037847376397.740	,1782037847376453.260	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,55.920,1782037847376555.340	,1782037847376611.260	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,56.100,1782037847376715.660	,1782037847376771.760	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,56.060,1782037847376873.840	,1782037847376929.900	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,56.120,1782037847377033.060	,1782037847377089.180	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,56.260,1782037847377191.060	,1782037847377247.320	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,56.060,1782037847377356.340	,1782037847377412.400	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,54.740,1782037847377544.040	,1782037847377598.780	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,55.500,1782037847377706.000	,1782037847377761.500	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,56.800,1782037847377862.720	,1782037847377919.520	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,55.780,1782037847378021.780	,1782037847378077.560	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,55.500,1782037847378181.240	,1782037847378236.740	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782037847379091.420	,1782037847379091.420	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782037847379141.480	,1782037847379141.500	
