Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870372834.630	,228.880,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7942090,0.0,0.048,0.0,0.299,0.0,0.046,0.0,0.255,0.0,0.446,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.388
0,4294967295,1,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870373197.830	,225.060,134.120000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7582232,0.0,0.05,0.0,0.354,0.0,0.049,0.0,0.241,0.0,0.466,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.583
0,4294967295,2,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870373538.810	,225.060,115.940000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7553635,0.0,0.05,0.0,0.36,0.0,0.049,0.0,0.245,0.0,0.463,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.230
0,4294967295,3,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870373878.630	,225.160,114.940000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7611384,0.0,0.05,0.0,0.335,0.0,0.048,0.0,0.246,0.0,0.466,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.901
0,4294967295,4,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870374216.610	,222.780,112.590000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7520199,0.0,0.05,0.0,0.368,0.0,0.049,0.0,0.243,0.0,0.463,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.767
0,4294967295,5,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870374549.730	,225.180,110.470000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7651566,0.0,0.049,0.0,0.335,0.0,0.048,0.0,0.244,0.0,0.47,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.388
0,4294967295,6,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870374886.070	,225.200,111.070000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7596234,0.0,0.05,0.0,0.342,0.0,0.048,0.0,0.244,0.0,0.467,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.697
0,4294967295,7,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870375224.050	,225.420,112.800000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7600800,0.0,0.05,0.0,0.343,0.0,0.048,0.0,0.243,0.0,0.468,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.662
0,4294967295,8,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870375562.150	,225.760,112.830000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7563681,0.0,0.05,0.0,0.36,0.0,0.049,0.0,0.243,0.0,0.464,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.064
0,4294967295,9,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870375897.830	,225.180,109.740000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7565546,0.0,0.05,0.0,0.351,0.0,0.049,0.0,0.242,0.0,0.467,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.327
0,4294967295,10,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870376239.150	,224.240,116.320000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7579760,0.0,0.05,0.0,0.344,0.0,0.049,0.0,0.246,0.0,0.466,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.894
0,4294967295,11,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870376575.450	,225.820,112.010000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7618016,0.0,0.05,0.0,0.34,0.0,0.048,0.0,0.246,0.0,0.465,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.708
0,4294967295,12,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870376911.110	,224.900,109.680000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7570904,0.0,0.05,0.0,0.354,0.0,0.049,0.0,0.245,0.0,0.462,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.510
0,4294967295,13,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870377254.930	,224.680,119.100000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7582586,0.0,0.05,0.0,0.362,0.0,0.049,0.0,0.245,0.0,0.463,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.745
0,4294967295,14,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870377605.770	,220.300,126.070000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7594711,0.0,0.05,0.0,0.36,0.0,0.049,0.0,0.244,0.0,0.465,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.762
0,4294967295,15,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870377940.030	,225.580,113.950000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7633415,0.0,0.05,0.0,0.349,0.0,0.048,0.0,0.243,0.0,0.464,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.997
0,4294967295,16,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037870378281.790	,225.520,116.170000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7610483,0.0,0.05,0.0,0.349,0.0,0.048,0.0,0.243,0.0,0.465,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.740
