Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037718617387.220	,1782037718617387.240	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,81.140,1782037718631500.540	,1782037718631581.680	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,71.600,1782037718631707.140	,1782037718631778.740	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,71.520,1782037718631899.460	,1782037718631970.980	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,70.120,1782037718632083.620	,1782037718632153.740	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,70.340,1782037718632267.940	,1782037718632338.280	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,69.640,1782037718632454.960	,1782037718632524.600	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,70.300,1782037718632635.740	,1782037718632706.040	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,70.720,1782037718632812.180	,1782037718632882.900	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,70.900,1782037718632987.580	,1782037718633058.480	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,71.100,1782037718633167.820	,1782037718633238.920	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,70.120,1782037718633344.460	,1782037718633414.580	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,70.980,1782037718633520.280	,1782037718633591.260	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,70.540,1782037718633696.400	,1782037718633766.940	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,70.900,1782037718633872.220	,1782037718633943.120	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,70.220,1782037718634048.580	,1782037718634118.800	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,70.940,1782037718634224.000	,1782037718634294.940	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,70.520,1782037718634399.940	,1782037718634470.460	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,70.380,1782037718634576.300	,1782037718634646.680	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,69.840,1782037718634752.460	,1782037718634822.300	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,69.520,1782037718634931.980	,1782037718635001.500	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,70.440,1782037718635107.660	,1782037718635178.100	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782037718636305.660	,1782037718636305.660	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037718636358.380	,1782037718636358.380	
