Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782037724827905.210	,1782037724827905.210	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,67.120,1782037724841469.710	,1782037724841536.830	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,57.520,1782037724841661.070	,1782037724841718.590	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,57.620,1782037724841830.910	,1782037724841888.530	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,60.600,1782037724841996.190	,1782037724842056.790	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,58.040,1782037724842164.630	,1782037724842222.670	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,57.720,1782037724842330.230	,1782037724842387.950	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,58.040,1782037724842493.430	,1782037724842551.470	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,57.100,1782037724842654.250	,1782037724842711.350	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,57.300,1782037724842818.710	,1782037724842876.010	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,58.000,1782037724842988.010	,1782037724843046.010	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,57.760,1782037724843152.270	,1782037724843210.030	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,57.240,1782037724843315.610	,1782037724843372.850	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,58.220,1782037724843476.270	,1782037724843534.490	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,59.360,1782037724843638.050	,1782037724843697.410	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,57.220,1782037724843801.270	,1782037724843858.490	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,57.900,1782037724843962.210	,1782037724844020.110	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,57.820,1782037724844131.770	,1782037724844189.590	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,57.420,1782037724844321.110	,1782037724844378.530	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,58.320,1782037724844489.690	,1782037724844548.010	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,57.320,1782037724844655.770	,1782037724844713.090	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,58.180,1782037724844817.210	,1782037724844875.390	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037724845651.350	,1782037724845651.370	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037724845704.910	,1782037724845704.910	
