Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782037730044922.830	,1782037730044922.830	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,57.800,1782037730058781.950	,1782037730058839.750	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,46.860,1782037730058962.150	,1782037730059009.010	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,47.480,1782037730059120.070	,1782037730059167.550	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,47.720,1782037730059275.430	,1782037730059323.150	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,47.880,1782037730059430.830	,1782037730059478.710	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,47.800,1782037730059587.710	,1782037730059635.510	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,46.860,1782037730059741.150	,1782037730059788.010	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,47.340,1782037730059896.110	,1782037730059943.450	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,47.500,1782037730060051.430	,1782037730060098.930	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,48.640,1782037730060226.290	,1782037730060274.930	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,47.060,1782037730060388.850	,1782037730060435.910	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,46.260,1782037730060543.970	,1782037730060590.230	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,48.740,1782037730060698.150	,1782037730060746.890	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,47.840,1782037730060852.850	,1782037730060900.690	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,47.740,1782037730061008.010	,1782037730061055.750	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,47.080,1782037730061162.970	,1782037730061210.050	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,47.200,1782037730061327.990	,1782037730061375.190	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,47.120,1782037730061483.650	,1782037730061530.770	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,47.300,1782037730061635.470	,1782037730061682.770	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,47.020,1782037730061787.730	,1782037730061834.750	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,48.120,1782037730061941.570	,1782037730061989.690	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037730062764.130	,1782037730062764.150	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782037730062817.370	,1782037730062817.390	
