Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037735269077.200	,1782037735269077.220	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,46.220,1782037735281765.360	,1782037735281811.580	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,39.660,1782037735281932.080	,1782037735281971.740	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,38.420,1782037735282084.460	,1782037735282122.880	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,39.040,1782037735282232.820	,1782037735282271.860	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,39.040,1782037735282380.520	,1782037735282419.560	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,39.160,1782037735282529.200	,1782037735282568.360	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,39.380,1782037735282673.020	,1782037735282712.400	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,39.400,1782037735282818.920	,1782037735282858.320	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,40.080,1782037735282966.500	,1782037735283006.580	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,39.220,1782037735283118.600	,1782037735283157.820	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,39.300,1782037735283263.140	,1782037735283302.440	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,39.040,1782037735283410.480	,1782037735283449.520	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,40.020,1782037735283553.660	,1782037735283593.680	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,39.340,1782037735283702.680	,1782037735283742.020	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,39.640,1782037735283845.960	,1782037735283885.600	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,39.200,1782037735283989.300	,1782037735284028.500	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,39.560,1782037735284137.080	,1782037735284176.640	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,39.780,1782037735284321.520	,1782037735284361.300	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,39.960,1782037735284472.020	,1782037735284511.980	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,39.180,1782037735284620.560	,1782037735284659.740	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,39.060,1782037735284768.400	,1782037735284807.460	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782037735285580.560	,1782037735285580.560	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037735285631.080	,1782037735285631.080	
