Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782037740478448.020	,1782037740478448.020	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,44.540,1782037740490765.720	,1782037740490810.260	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,36.540,1782037740490939.200	,1782037740490975.740	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,36.160,1782037740491094.280	,1782037740491130.440	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,36.040,1782037740491240.820	,1782037740491276.860	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,36.120,1782037740491388.360	,1782037740491424.480	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,35.740,1782037740491534.520	,1782037740491570.260	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,35.800,1782037740491679.740	,1782037740491715.540	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,36.380,1782037740491824.440	,1782037740491860.820	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,36.940,1782037740491971.580	,1782037740492008.520	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,36.920,1782037740492131.820	,1782037740492168.740	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,35.840,1782037740492306.400	,1782037740492342.240	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,35.780,1782037740492454.620	,1782037740492490.400	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,35.560,1782037740492598.840	,1782037740492634.400	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,36.860,1782037740492744.040	,1782037740492780.900	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,36.500,1782037740492887.880	,1782037740492924.380	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,36.800,1782037740493037.580	,1782037740493074.380	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,35.840,1782037740493182.020	,1782037740493217.860	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,36.200,1782037740493331.620	,1782037740493367.820	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,36.480,1782037740493478.400	,1782037740493514.880	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,36.140,1782037740493626.960	,1782037740493663.100	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,36.040,1782037740493776.460	,1782037740493812.500	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037740494660.320	,1782037740494660.340	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782037740494712.340	,1782037740494712.360	
