Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037747700415.730	,1782037747700415.750	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,0,415.020,1782037747729217.730	,1782037747729632.750	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,1,417.040,1782037747729762.050	,1782037747730179.090	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,2,416.720,1782037747730292.410	,1782037747730709.130	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,3,417.080,1782037747730852.030	,1782037747731269.110	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,4,417.060,1782037747731377.370	,1782037747731794.430	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,5,417.000,1782037747731900.890	,1782037747732317.890	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,6,420.060,1782037747732426.330	,1782037747732846.390	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,7,415.520,1782037747732952.750	,1782037747733368.270	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,8,418.860,1782037747733473.770	,1782037747733892.630	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,9,418.300,1782037747734004.970	,1782037747734423.270	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,10,421.060,1782037747734531.270	,1782037747734952.330	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,11,420.360,1782037747735061.030	,1782037747735481.390	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,12,415.800,1782037747735588.150	,1782037747736003.950	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,13,417.400,1782037747736119.330	,1782037747736536.730	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,14,417.920,1782037747736648.310	,1782037747737066.230	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,15,419.780,1782037747737175.090	,1782037747737594.870	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,16,416.320,1782037747737701.550	,1782037747738117.870	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,17,419.540,1782037747738226.710	,1782037747738646.250	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,18,417.660,1782037747738756.470	,1782037747739174.130	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,19,417.540,1782037747739285.450	,1782037747739702.990	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,20,417.280,1782037747739807.470	,1782037747740224.750	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037747741832.530	,1782037747741832.550	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782037747741881.710	,1782037747741881.730	
