Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037765435890.810	,1782037765435890.830	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,121.760,1782037765464066.190	,1782037765464187.950	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,111.680,1782037765464321.650	,1782037765464433.330	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,112.620,1782037765464551.230	,1782037765464663.850	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,112.220,1782037765464780.370	,1782037765464892.590	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,112.400,1782037765465004.710	,1782037765465117.110	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,112.680,1782037765465225.390	,1782037765465338.070	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,112.160,1782037765465448.170	,1782037765465560.330	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,111.940,1782037765465670.590	,1782037765465782.530	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,112.520,1782037765465895.850	,1782037765466008.370	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,111.820,1782037765466126.010	,1782037765466237.830	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,112.900,1782037765466351.870	,1782037765466464.770	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,112.080,1782037765466568.290	,1782037765466680.370	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,113.420,1782037765466792.190	,1782037765466905.610	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,112.820,1782037765467051.030	,1782037765467163.850	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,112.320,1782037765467283.870	,1782037765467396.190	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,111.620,1782037765467510.790	,1782037765467622.410	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,113.080,1782037765467731.510	,1782037765467844.590	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,112.980,1782037765467958.630	,1782037765468071.610	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,111.800,1782037765468175.530	,1782037765468287.330	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,112.020,1782037765468400.950	,1782037765468512.970	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,113.440,1782037765468621.890	,1782037765468735.330	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037765469633.610	,1782037765469633.630	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037765469685.350	,1782037765469685.350	
