Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771713005.700	,106.380,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3540017,0.0,0.045,0.0,0.342,0.0,0.034,0.0,0.24,0.0,0.445,0.039,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.436
0,4294967295,1,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771713238.120	,93.780,125.870000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3049499,0.0,0.052,0.0,0.373,0.0,0.04,0.0,0.225,0.0,0.527,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.327
0,4294967295,2,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771713444.000	,94.740,112.220000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3069396,0.0,0.052,0.0,0.391,0.0,0.04,0.0,0.224,0.0,0.52,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.995
0,4294967295,3,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771713645.080	,95.160,106.260000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3061191,0.0,0.052,0.0,0.402,0.0,0.04,0.0,0.226,0.0,0.521,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.358
0,4294967295,4,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771713847.440	,94.780,107.340000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3053194,0.0,0.052,0.0,0.391,0.0,0.04,0.0,0.226,0.0,0.523,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.482
0,4294967295,5,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771714046.180	,93.420,103.970000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3052334,0.0,0.052,0.0,0.397,0.0,0.04,0.0,0.225,0.0,0.519,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.759
0,4294967295,6,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771714246.520	,96.200,106.830000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3058863,0.0,0.052,0.0,0.372,0.0,0.04,0.0,0.225,0.0,0.523,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.325
0,4294967295,7,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771714448.200	,94.340,105.550000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3053033,0.0,0.052,0.0,0.393,0.0,0.04,0.0,0.225,0.0,0.52,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.895
0,4294967295,8,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771714647.640	,94.080,105.160000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3063459,0.0,0.052,0.0,0.373,0.0,0.04,0.0,0.225,0.0,0.523,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.451
0,4294967295,9,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771714863.880	,93.280,122.170000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3046270,0.0,0.052,0.0,0.398,0.0,0.04,0.0,0.227,0.0,0.52,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.715
0,4294967295,10,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771715075.060	,95.440,117.720000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3084692,0.0,0.051,0.0,0.379,0.0,0.039,0.0,0.223,0.0,0.525,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.780
0,4294967295,11,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771715277.380	,94.240,107.060000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3062907,0.0,0.052,0.0,0.379,0.0,0.04,0.0,0.224,0.0,0.525,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.281
0,4294967295,12,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771715477.320	,95.340,105.510000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3070758,0.0,0.052,0.0,0.381,0.0,0.04,0.0,0.224,0.0,0.521,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.468
0,4294967295,13,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771715676.700	,93.720,104.160000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3061879,0.0,0.052,0.0,0.377,0.0,0.04,0.0,0.224,0.0,0.522,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.751
0,4294967295,14,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771715875.260	,94.300,104.780000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3063118,0.0,0.052,0.0,0.387,0.0,0.04,0.0,0.225,0.0,0.52,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.230
0,4294967295,15,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771716073.920	,93.120,104.450000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3047813,0.0,0.052,0.0,0.381,0.0,0.04,0.0,0.225,0.0,0.523,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.917
0,4294967295,16,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771716272.680	,93.820,105.630000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3052173,0.0,0.052,0.0,0.393,0.0,0.04,0.0,0.225,0.0,0.52,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.367
0,4294967295,17,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771716473.180	,95.480,106.680000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3054109,0.0,0.052,0.0,0.379,0.0,0.04,0.0,0.224,0.0,0.523,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.852
0,4294967295,18,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771716672.560	,94.760,103.770000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3059368,0.0,0.052,0.0,0.39,0.0,0.04,0.0,0.224,0.0,0.524,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.682
0,4294967295,19,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771716874.160	,95.520,106.990000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3087721,0.0,0.051,0.0,0.387,0.0,0.039,0.0,0.222,0.0,0.519,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.793
0,4294967295,20,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037771717073.500	,94.040,103.730000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,3054495,0.0,0.052,0.0,0.4,0.0,0.04,0.0,0.226,0.0,0.523,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.224
