Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037666777938.070	,1782037666777938.090	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,95.780,1782037666787272.190	,1782037666787367.970	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,32.440,1782037666787496.750	,1782037666787529.190	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,11.560,1782037666787648.150	,1782037666787659.710	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,8.980,1782037666787770.950	,1782037666787779.930	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,8.700,1782037666787890.250	,1782037666787898.950	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,9.060,1782037666788009.670	,1782037666788018.730	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,8.820,1782037666788127.130	,1782037666788135.950	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,9.000,1782037666788244.370	,1782037666788253.370	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,8.720,1782037666788361.870	,1782037666788370.590	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,8.780,1782037666788477.970	,1782037666788486.750	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,8.780,1782037666788595.390	,1782037666788604.170	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,9.140,1782037666788712.870	,1782037666788722.010	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,8.700,1782037666788832.490	,1782037666788841.190	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,8.740,1782037666788949.750	,1782037666788958.490	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,8.660,1782037666789069.410	,1782037666789078.070	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,9.160,1782037666789186.850	,1782037666789196.010	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,8.940,1782037666789303.850	,1782037666789312.790	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,9.040,1782037666789421.110	,1782037666789430.150	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,8.780,1782037666789537.970	,1782037666789546.750	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,9.020,1782037666789655.530	,1782037666789664.550	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,9.200,1782037666789773.230	,1782037666789782.430	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037666790612.870	,1782037666790612.890	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037666790665.070	,1782037666790665.070	
