Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037671973646.570	,86.800,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2374282,0.0,0.001,0.0,0.095,0.0,0.001,0.0,0.019,0.0,0.584,0.539,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.982
0,4294967295,1,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037671973867.670	,32.320,134.450000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,510061,0.0,0.005,0.0,0.267,0.0,0.004,0.0,0.117,0.0,0.252,0.135,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.838
0,4294967295,2,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037671974030.670	,12.660,130.680000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,273115,0.0,0.008,0.0,0.342,0.0,0.007,0.0,0.14,0.0,0.099,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.925
0,4294967295,3,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037671974161.310	,7.420,117.840000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,160321,0.0,0.014,0.0,0.56,0.0,0.012,0.0,0.15,0.0,0.165,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.018
0,4294967295,4,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037671974287.050	,7.160,118.330000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,158695,0.0,0.015,0.0,0.505,0.0,0.013,0.0,0.171,0.0,0.165,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.567
0,4294967295,5,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037671974402.490	,7.140,108.340000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,155739,0.0,0.015,0.0,0.489,0.0,0.013,0.0,0.163,0.0,0.164,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.589
0,4294967295,6,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037671974519.310	,7.160,109.610000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,157616,0.0,0.015,0.0,0.465,0.0,0.013,0.0,0.141,0.0,0.164,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.148
0,4294967295,7,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037671974639.010	,7.280,112.590000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,154589,0.0,0.015,0.0,0.419,0.0,0.013,0.0,0.156,0.0,0.168,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.985
0,4294967295,8,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037671974755.710	,7.100,109.470000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,152654,0.0,0.015,0.0,0.535,0.0,0.013,0.0,0.135,0.0,0.169,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.724
0,4294967295,9,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037671974869.490	,6.920,106.650000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,155910,0.0,0.015,0.0,0.498,0.0,0.013,0.0,0.171,0.0,0.165,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.584
