Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782037671964731.570	,1782037671964731.570	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,89.360,1782037671973644.990	,1782037671973734.350	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,34.400,1782037671973866.530	,1782037671973900.930	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,14.880,1782037671974029.670	,1782037671974044.550	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,9.300,1782037671974160.410	,1782037671974169.710	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,9.700,1782037671974285.750	,1782037671974295.450	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,8.880,1782037671974401.430	,1782037671974410.310	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,9.520,1782037671974518.190	,1782037671974527.710	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,9.740,1782037671974637.710	,1782037671974647.450	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,8.780,1782037671974754.750	,1782037671974763.530	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,9.180,1782037671974868.110	,1782037671974877.290	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,8.840,1782037671974985.810	,1782037671974994.650	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,9.060,1782037671975098.150	,1782037671975107.210	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,9.360,1782037671975219.270	,1782037671975228.630	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,8.760,1782037671975334.330	,1782037671975343.090	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,8.860,1782037671975448.670	,1782037671975457.530	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,9.200,1782037671975574.730	,1782037671975583.930	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,9.220,1782037671975703.710	,1782037671975712.930	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,9.660,1782037671975835.550	,1782037671975845.210	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,8.960,1782037671975960.710	,1782037671975969.670	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,8.720,1782037671976079.990	,1782037671976088.710	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,9.100,1782037671976194.650	,1782037671976203.750	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782037671977007.830	,1782037671977007.830	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037671977061.370	,1782037671977061.370	
