Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037677174814.430	,75.540,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,1995151,0.0,0.001,0.0,0.097,0.0,0.001,0.0,0.038,0.0,0.628,0.551,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.366
0,4294967295,1,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037677175029.870	,27.180,139.710000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,427798,0.0,0.005,0.0,0.289,0.0,0.004,0.0,0.094,0.0,0.274,0.138,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.721
0,4294967295,2,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037677175174.830	,10.960,117.820000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,248983,0.0,0.009,0.0,0.354,0.0,0.008,0.0,0.083,0.0,0.105,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.104
0,4294967295,3,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037677175298.210	,8.540,112.540000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,188186,0.0,0.012,0.0,0.423,0.0,0.01,0.0,0.081,0.0,0.136,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.211
0,4294967295,4,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037677175422.690	,7.400,115.960000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,164272,0.0,0.014,0.0,0.465,0.0,0.012,0.0,0.09,0.0,0.154,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.664
0,4294967295,5,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037677175557.170	,6.420,127.100000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,138443,0.0,0.016,0.0,0.481,0.0,0.014,0.0,0.103,0.0,0.183,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.901
0,4294967295,6,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037677175674.990	,6.220,111.330000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,135645,0.0,0.017,0.0,0.43,0.0,0.014,0.0,0.102,0.0,0.187,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.577
0,4294967295,7,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037677175793.990	,6.160,112.780000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,137608,0.0,0.017,0.0,0.539,0.0,0.014,0.0,0.103,0.0,0.19,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.053
0,4294967295,8,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037677175907.630	,6.160,107.590000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,141580,0.0,0.016,0.0,0.527,0.0,0.014,0.0,0.102,0.0,0.18,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.844
0,4294967295,9,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037677176022.590	,6.300,108.590000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,138323,0.0,0.016,0.0,0.511,0.0,0.014,0.0,0.105,0.0,0.184,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.989
