Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782037682391944.300	,1782037682391944.300	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,70.000,1782037682401228.260	,1782037682401298.260	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,27.460,1782037682401430.780	,1782037682401458.240	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,13.280,1782037682401576.700	,1782037682401589.980	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,12.940,1782037682401701.500	,1782037682401714.440	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,11.760,1782037682401823.620	,1782037682401835.380	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,8.520,1782037682401945.960	,1782037682401954.480	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,8.140,1782037682402066.720	,1782037682402074.860	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,8.400,1782037682402184.440	,1782037682402192.840	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,8.200,1782037682402297.820	,1782037682402306.020	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,8.480,1782037682402413.620	,1782037682402422.100	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,8.280,1782037682402530.080	,1782037682402538.360	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,8.560,1782037682402645.360	,1782037682402653.920	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,8.600,1782037682402766.780	,1782037682402775.380	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,8.360,1782037682402888.460	,1782037682402896.820	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,8.240,1782037682403008.360	,1782037682403016.600	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,8.300,1782037682403126.260	,1782037682403134.560	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,8.400,1782037682403241.680	,1782037682403250.080	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,8.260,1782037682403359.180	,1782037682403367.440	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,8.420,1782037682403476.180	,1782037682403484.600	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,8.220,1782037682403593.180	,1782037682403601.400	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,8.320,1782037682403709.820	,1782037682403718.140	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782037682404550.360	,1782037682404550.360	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037682404604.320	,1782037682404604.320	
0,N/A,PLACE_HOLDER_SQE,49,6,0.020,1782037682404632.800	,1782037682404632.820	
