Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,spmm_kernel_aic4_ktile512,spmm_kernel_aic4_ktile512,N/A,MIX_AIC,1782037783333137.640	,798.780,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,27507845,0.0,0.047,0.0,0.168,0.0,0.062,0.0,0.526,0.0,0.188,0.011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.659
0,4294967295,1,47,spmm_kernel_aic4_ktile512,spmm_kernel_aic4_ktile512,N/A,MIX_AIC,1782037783334066.820	,787.780,130.220000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,27103171,0.0,0.048,0.0,0.165,0.0,0.063,0.0,0.532,0.0,0.19,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.568
0,4294967295,2,47,spmm_kernel_aic4_ktile512,spmm_kernel_aic4_ktile512,N/A,MIX_AIC,1782037783334979.340	,790.860,124.720000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,27167298,0.0,0.048,0.0,0.167,0.0,0.063,0.0,0.531,0.0,0.188,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.421
0,4294967295,3,47,spmm_kernel_aic4_ktile512,spmm_kernel_aic4_ktile512,N/A,MIX_AIC,1782037783335890.800	,792.580,120.640000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,27290768,0.0,0.048,0.0,0.166,0.0,0.062,0.0,0.529,0.0,0.188,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.647
0,4294967295,4,47,spmm_kernel_aic4_ktile512,spmm_kernel_aic4_ktile512,N/A,MIX_AIC,1782037783336804.280	,792.760,120.920000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,27221201,0.0,0.048,0.0,0.165,0.0,0.062,0.0,0.53,0.0,0.188,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.381
0,4294967295,5,47,spmm_kernel_aic4_ktile512,spmm_kernel_aic4_ktile512,N/A,MIX_AIC,1782037783337705.720	,790.900,108.740000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,27223293,0.0,0.048,0.0,0.165,0.0,0.062,0.0,0.531,0.0,0.188,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.613
0,4294967295,6,47,spmm_kernel_aic4_ktile512,spmm_kernel_aic4_ktile512,N/A,MIX_AIC,1782037783338605.660	,794.800,109.100000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,27296278,0.0,0.048,0.0,0.165,0.0,0.062,0.0,0.529,0.0,0.188,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.399
0,4294967295,7,47,spmm_kernel_aic4_ktile512,spmm_kernel_aic4_ktile512,N/A,MIX_AIC,1782037783339509.580	,789.980,108.950000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,27178619,0.0,0.048,0.0,0.167,0.0,0.062,0.0,0.53,0.0,0.188,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.567
0,4294967295,8,47,spmm_kernel_aic4_ktile512,spmm_kernel_aic4_ktile512,N/A,MIX_AIC,1782037783340407.920	,792.020,108.520000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,27268965,0.0,0.048,0.0,0.165,0.0,0.062,0.0,0.53,0.0,0.188,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.638
0,4294967295,9,47,spmm_kernel_aic4_ktile512,spmm_kernel_aic4_ktile512,N/A,MIX_AIC,1782037783341334.240	,792.960,134.230000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,27326399,0.0,0.048,0.0,0.165,0.0,0.062,0.0,0.529,0.0,0.188,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.726
