Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037783282017.120	,1782037783282017.140	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,0,801.140,1782037783333136.060	,1782037783333937.200	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,1,789.940,1782037783334065.540	,1782037783334855.480	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,2,793.080,1782037783334978.080	,1782037783335771.160	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,3,794.900,1782037783335889.700	,1782037783336684.600	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,4,794.860,1782037783336803.120	,1782037783337597.980	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,5,792.740,1782037783337704.620	,1782037783338497.360	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,6,796.700,1782037783338604.540	,1782037783339401.240	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,7,792.500,1782037783339508.200	,1782037783340300.700	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,8,794.260,1782037783340406.700	,1782037783341200.960	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,9,795.360,1782037783341332.940	,1782037783342128.300	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,10,792.260,1782037783342244.920	,1782037783343037.180	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,11,792.160,1782037783343151.560	,1782037783343943.720	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,12,795.700,1782037783344052.400	,1782037783344848.100	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,13,792.480,1782037783344956.160	,1782037783345748.640	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,14,794.180,1782037783345856.660	,1782037783346650.840	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,15,795.520,1782037783346762.640	,1782037783347558.160	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,16,794.760,1782037783347667.580	,1782037783348462.340	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,17,793.100,1782037783348573.000	,1782037783349366.100	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,18,796.220,1782037783349471.940	,1782037783350268.160	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,19,794.360,1782037783350378.660	,1782037783351173.020	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,20,797.540,1782037783351289.220	,1782037783352086.760	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782037783354224.480	,1782037783354224.480	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037783354273.840	,1782037783354273.840	
