Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037788575605.890	,1782037788575605.910	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,392.820,1782037788626492.930	,1782037788626885.750	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,384.640,1782037788627022.830	,1782037788627407.470	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,385.620,1782037788627526.450	,1782037788627912.070	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,381.440,1782037788628028.590	,1782037788628410.030	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,383.620,1782037788628527.330	,1782037788628910.950	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,382.660,1782037788629026.990	,1782037788629409.650	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,390.300,1782037788629527.610	,1782037788629917.910	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,385.680,1782037788630034.970	,1782037788630420.650	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,385.840,1782037788630528.050	,1782037788630913.890	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,382.060,1782037788631042.250	,1782037788631424.310	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,388.420,1782037788631534.850	,1782037788631923.270	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,381.860,1782037788632045.230	,1782037788632427.090	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,383.360,1782037788632540.430	,1782037788632923.790	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,381.660,1782037788633040.190	,1782037788633421.850	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,385.680,1782037788633538.990	,1782037788633924.670	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,385.160,1782037788634038.590	,1782037788634423.750	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,385.900,1782037788634534.170	,1782037788634920.070	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,384.380,1782037788635035.610	,1782037788635419.990	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,383.980,1782037788635529.250	,1782037788635913.230	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,382.440,1782037788636025.130	,1782037788636407.570	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,385.000,1782037788636519.430	,1782037788636904.430	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037788638773.230	,1782037788638773.250	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037788638827.230	,1782037788638827.230	
