Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800225544.310	,225.320,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7723523,0.0,0.049,0.0,0.419,0.0,0.041,0.0,0.233,0.0,0.498,0.018,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.217
0,4294967295,1,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800225907.610	,206.520,137.930000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7059707,0.0,0.054,0.0,0.487,0.0,0.045,0.0,0.226,0.0,0.546,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.956
0,4294967295,2,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800226239.890	,207.020,125.980000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7076436,0.0,0.054,0.0,0.481,0.0,0.045,0.0,0.227,0.0,0.548,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.951
0,4294967295,3,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800226563.950	,206.340,116.980000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7051679,0.0,0.054,0.0,0.481,0.0,0.045,0.0,0.229,0.0,0.545,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.931
0,4294967295,4,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800226888.010	,207.320,117.660000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7104245,0.0,0.053,0.0,0.479,0.0,0.045,0.0,0.229,0.0,0.547,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.186
0,4294967295,5,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800227216.090	,210.180,120.680000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7085325,0.0,0.053,0.0,0.474,0.0,0.045,0.0,0.23,0.0,0.547,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.641
0,4294967295,6,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800227542.490	,207.720,116.320000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7095227,0.0,0.053,0.0,0.479,0.0,0.045,0.0,0.23,0.0,0.547,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.882
0,4294967295,7,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800227861.170	,208.400,111.030000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7081951,0.0,0.053,0.0,0.48,0.0,0.045,0.0,0.23,0.0,0.546,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.396
0,4294967295,8,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800228183.230	,208.980,113.600000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7092853,0.0,0.053,0.0,0.483,0.0,0.045,0.0,0.23,0.0,0.546,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.279
0,4294967295,9,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800228510.230	,207.520,118.020000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7109976,0.0,0.053,0.0,0.48,0.0,0.045,0.0,0.228,0.0,0.548,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.171
0,4294967295,10,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800228831.910	,207.220,114.230000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7084439,0.0,0.053,0.0,0.478,0.0,0.045,0.0,0.23,0.0,0.548,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.967
0,4294967295,11,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800229151.070	,208.180,111.780000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7090042,0.0,0.053,0.0,0.477,0.0,0.045,0.0,0.23,0.0,0.547,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.604
0,4294967295,12,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800229468.410	,208.180,109.320000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7078228,0.0,0.054,0.0,0.482,0.0,0.045,0.0,0.231,0.0,0.547,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.446
0,4294967295,13,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800229785.850	,207.200,109.070000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7084065,0.0,0.053,0.0,0.481,0.0,0.045,0.0,0.229,0.0,0.547,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.971
0,4294967295,14,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800230105.050	,207.240,112.050000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7099706,0.0,0.053,0.0,0.485,0.0,0.045,0.0,0.23,0.0,0.545,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.162
0,4294967295,15,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800230424.770	,207.560,112.510000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7098255,0.0,0.053,0.0,0.484,0.0,0.045,0.0,0.23,0.0,0.547,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.996
0,4294967295,16,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800230752.390	,206.700,120.190000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7085975,0.0,0.053,0.0,0.482,0.0,0.045,0.0,0.23,0.0,0.55,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.226
0,4294967295,17,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800231070.390	,207.120,111.300000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7082265,0.0,0.053,0.0,0.477,0.0,0.045,0.0,0.229,0.0,0.548,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.983
0,4294967295,18,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800231390.110	,205.720,112.380000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7066749,0.0,0.054,0.0,0.483,0.0,0.045,0.0,0.23,0.0,0.548,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.420
0,4294967295,19,47,spmm_kernel_aic8_ktile256,spmm_kernel_aic8_ktile256,N/A,MIX_AIC,1782037800231716.030	,206.780,120.280000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,7074004,0.0,0.054,0.0,0.481,0.0,0.045,0.0,0.229,0.0,0.546,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.029
