Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782037800176810.890	,1782037800176810.910	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,228.060,1782037800225542.730	,1782037800225770.790	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,208.380,1782037800225906.410	,1782037800226114.790	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,208.980,1782037800226238.850	,1782037800226447.830	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,208.360,1782037800226562.950	,1782037800226771.310	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,209.660,1782037800226886.790	,1782037800227096.450	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,211.740,1782037800227215.250	,1782037800227426.990	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,209.620,1782037800227541.410	,1782037800227751.030	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,210.440,1782037800227859.810	,1782037800228070.250	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,211.000,1782037800228181.930	,1782037800228392.930	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,209.940,1782037800228508.890	,1782037800228718.830	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,208.820,1782037800228831.070	,1782037800229039.890	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,210.040,1782037800229150.110	,1782037800229360.150	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,210.060,1782037800229467.430	,1782037800229677.490	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,209.020,1782037800229784.830	,1782037800229993.850	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,209.400,1782037800230104.130	,1782037800230313.530	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,209.640,1782037800230423.710	,1782037800230633.350	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,208.920,1782037800230751.410	,1782037800230960.330	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,209.120,1782037800231069.110	,1782037800231278.230	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,207.780,1782037800231388.910	,1782037800231596.690	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,209.000,1782037800231715.030	,1782037800231924.030	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,208.700,1782037800232045.230	,1782037800232253.930	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037800233450.570	,1782037800233450.590	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782037800233499.650	,1782037800233499.670	
