Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782037805540208.210	,1782037805540208.210	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,0,3591.520,1782037805624714.230	,1782037805628305.750	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,1,3573.500,1782037805628435.610	,1782037805632009.110	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,2,3577.840,1782037805632140.810	,1782037805635718.650	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,3,3572.180,1782037805635837.890	,1782037805639410.070	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,4,3574.900,1782037805639528.430	,1782037805643103.330	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,5,3577.080,1782037805643223.390	,1782037805646800.470	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,6,3575.480,1782037805646918.110	,1782037805650493.590	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,7,3574.660,1782037805650613.370	,1782037805654188.030	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,8,3575.540,1782037805654301.350	,1782037805657876.890	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,9,3574.960,1782037805658009.210	,1782037805661584.170	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,10,3577.560,1782037805661698.230	,1782037805665275.790	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,11,3577.480,1782037805665390.430	,1782037805668967.910	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,12,3573.020,1782037805669079.750	,1782037805672652.770	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,13,3576.440,1782037805672763.530	,1782037805676339.970	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,14,3574.420,1782037805676454.930	,1782037805680029.350	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,15,3575.680,1782037805680144.050	,1782037805683719.730	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,16,3576.920,1782037805683834.070	,1782037805687410.990	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,17,3574.300,1782037805687532.170	,1782037805691106.470	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,18,3575.140,1782037805691222.330	,1782037805694797.470	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,19,3575.220,1782037805694913.890	,1782037805698489.110	
0,spmm_kernel_aic2_ktile1024,MIX_AIC,47,20,3574.860,1782037805698605.730	,1782037805702180.590	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782037805709222.870	,1782037805709222.870	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782037805709273.150	,1782037805709273.170	
