Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782037811920657.560	,1782037811920657.560	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,0,1695.800,1782037812002546.500	,1782037812004242.300	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,1,1679.960,1782037812004375.780	,1782037812006055.740	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,2,1678.660,1782037812006178.380	,1782037812007857.040	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,3,1681.920,1782037812007977.440	,1782037812009659.360	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,4,1679.100,1782037812009774.300	,1782037812011453.400	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,5,1679.820,1782037812011568.840	,1782037812013248.660	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,6,1682.780,1782037812013359.060	,1782037812015041.840	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,7,1683.720,1782037812015158.580	,1782037812016842.300	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,8,1681.240,1782037812016964.100	,1782037812018645.340	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,9,1678.400,1782037812018765.540	,1782037812020443.940	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,10,1684.460,1782037812020573.080	,1782037812022257.540	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,11,1684.140,1782037812022379.840	,1782037812024063.980	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,12,1686.980,1782037812024185.900	,1782037812025872.880	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,13,1678.820,1782037812025988.140	,1782037812027666.960	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,14,1682.620,1782037812027778.580	,1782037812029461.200	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,15,1685.340,1782037812029569.860	,1782037812031255.200	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,16,1683.460,1782037812031373.460	,1782037812033056.920	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,17,1685.100,1782037812033170.040	,1782037812034855.140	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,18,1680.640,1782037812034963.680	,1782037812036644.320	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,19,1680.640,1782037812036757.320	,1782037812038437.960	
0,spmm_kernel_aic4_ktile512,MIX_AIC,47,20,1681.180,1782037812038548.420	,1782037812040229.600	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782037812046391.440	,1782037812046391.440	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782037812046442.440	,1782037812046442.460	
