Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782037817284130.390	,1782037817284130.390	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,774.500,1782037817364392.730	,1782037817365167.230	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,752.940,1782037817365294.110	,1782037817366047.050	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,754.220,1782037817366168.490	,1782037817366922.710	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,756.740,1782037817367042.430	,1782037817367799.170	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,754.620,1782037817367908.390	,1782037817368663.010	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,753.660,1782037817368770.050	,1782037817369523.710	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,754.580,1782037817369631.690	,1782037817370386.270	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,753.760,1782037817370494.590	,1782037817371248.350	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,756.460,1782037817371356.290	,1782037817372112.750	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,753.580,1782037817372224.050	,1782037817372977.630	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,753.600,1782037817373089.670	,1782037817373843.270	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,756.900,1782037817373948.870	,1782037817374705.770	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,756.660,1782037817374824.950	,1782037817375581.610	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,753.820,1782037817375693.250	,1782037817376447.070	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,754.400,1782037817376554.930	,1782037817377309.330	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,754.220,1782037817377417.430	,1782037817378171.650	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,754.640,1782037817378278.390	,1782037817379033.030	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,753.520,1782037817379143.350	,1782037817379896.870	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,754.840,1782037817380004.770	,1782037817380759.610	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,756.060,1782037817380871.370	,1782037817381627.430	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,754.720,1782037817381734.470	,1782037817382489.190	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782037817387905.430	,1782037817387905.450	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782037817387956.110	,1782037817387956.110	
