Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782037711425348.010	,1782037711425348.010	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,0,35.080,1782037711435445.150	,1782037711435480.230	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,1,15.020,1782037711435617.830	,1782037711435632.850	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,2,15.220,1782037711435756.390	,1782037711435771.610	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,3,14.900,1782037711435883.050	,1782037711435897.950	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,4,14.760,1782037711436019.070	,1782037711436033.830	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,5,15.080,1782037711436145.650	,1782037711436160.730	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,6,15.120,1782037711436283.910	,1782037711436299.030	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,7,14.940,1782037711436414.570	,1782037711436429.510	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,8,14.700,1782037711436536.930	,1782037711436551.630	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,9,15.160,1782037711436660.430	,1782037711436675.590	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,10,14.780,1782037711436785.950	,1782037711436800.730	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,11,14.840,1782037711436910.350	,1782037711436925.190	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,12,14.780,1782037711437037.950	,1782037711437052.730	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,13,15.180,1782037711437161.390	,1782037711437176.570	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,14,14.740,1782037711437286.910	,1782037711437301.650	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,15,15.240,1782037711437413.830	,1782037711437429.070	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,16,15.200,1782037711437533.770	,1782037711437548.970	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,17,15.140,1782037711437661.490	,1782037711437676.630	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,18,14.820,1782037711437788.690	,1782037711437803.510	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,19,15.060,1782037711437916.630	,1782037711437931.690	
0,spmm_kernel_aic8_ktile256,MIX_AIC,47,20,15.060,1782037711438041.210	,1782037711438056.270	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782037711438913.450	,1782037711438913.450	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782037711438968.150	,1782037711438968.170	
