case_name	M	N	K	sparsity	avg_ms	effective_tflops	dense_equiv_tflops	max_vectors_per_row	AIC_N_BATCH	SPARSE_K_TILE
bench_sq_m256_n256_k256_s85_d16	256	256	256	85	0.010656	0.472312	3.148877	49	8	256
bench_sq_m256_n256_k256_s90_d16	256	256	256	90	0.010211	0.328631	3.286106	34	8	256
bench_sq_m256_n256_k256_s95_d16	256	256	256	95	0.010706	0.156718	3.134171	19	8	256
bench_sq_m256_n256_k256_s98_d16	256	256	256	98	0.009825	0.068319	3.415209	9	8	256
bench_sq_m256_n256_k256_s99_d16	256	256	256	99	0.009957	0.033681	3.369934	8	8	256
bench_sq_m512_n512_k512_s85_d16	512	512	512	85	0.021880	1.840298	12.268531	90	8	256
bench_sq_m512_n512_k512_s90_d16	512	512	512	90	0.018904	1.419971	14.199929	66	8	256
bench_sq_m512_n512_k512_s95_d16	512	512	512	95	0.016274	0.824725	16.494744	33	8	256
bench_sq_m512_n512_k512_s98_d16	512	512	512	98	0.014432	0.372009	18.600018	17	8	256
bench_sq_m512_n512_k512_s99_d16	512	512	512	99	0.014987	0.179082	17.911220	10	8	256
bench_sq_m1024_n1024_k1024_s85_d16	1024	1024	1024	85	0.070532	4.567030	30.446941	189	8	256
bench_sq_m1024_n1024_k1024_s90_d16	1024	1024	1024	90	0.057935	3.706726	37.067121	127	8	256
bench_sq_m1024_n1024_k1024_s95_d16	1024	1024	1024	95	0.047478	2.261565	45.231131	67	8	256
bench_sq_m1024_n1024_k1024_s98_d16	1024	1024	1024	98	0.039374	1.090838	54.540652	35	8	256
bench_sq_m1024_n1024_k1024_s99_d16	1024	1024	1024	99	0.036234	0.592684	59.267087	17	8	256
bench_sq_m2048_n2048_k2048_s85_d16	2048	2048	2048	85	0.417915	6.166283	41.108525	346	4	512
bench_sq_m2048_n2048_k2048_s90_d16	2048	2048	2048	90	0.234420	7.328663	73.286704	242	8	256
bench_sq_m2048_n2048_k2048_s95_d16	2048	2048	2048	95	0.152248	5.642062	112.841346	124	8	256
bench_sq_m2048_n2048_k2048_s98_d16	2048	2048	2048	98	0.112426	3.056206	152.810464	53	8	256
bench_sq_m2048_n2048_k2048_s99_d16	2048	2048	2048	99	0.096601	1.778434	177.843596	31	8	256
bench_sq_m3072_n3072_k3072_s85_d16	3072	3072	3072	85	1.687309	5.154546	34.363628	514	2	1024
bench_sq_m3072_n3072_k3072_s90_d16	3072	3072	3072	90	0.794131	7.301319	73.013216	356	4	512
bench_sq_m3072_n3072_k3072_s95_d16	3072	3072	3072	95	0.384485	7.540221	150.804475	185	8	256
bench_sq_m3072_n3072_k3072_s98_d16	3072	3072	3072	98	0.250960	4.620829	231.041036	87	8	256
bench_sq_m3072_n3072_k3072_s99_d16	3072	3072	3072	99	0.209431	2.768557	276.855186	50	8	256
bench_sq_m4096_n4096_k4096_s85_d16	4096	4096	4096	85	3.575359	5.766089	38.440602	702	2	1024
bench_sq_m4096_n4096_k4096_s90_d16	4096	4096	4096	90	1.681949	8.171412	81.714103	456	4	512
bench_sq_m4096_n4096_k4096_s95_d16	4096	4096	4096	95	0.754697	9.105574	182.111435	239	8	256
bench_sq_m4096_n4096_k4096_s98_d16	4096	4096	4096	98	0.475549	5.780217	289.011129	108	8	256
bench_sq_m4096_n4096_k4096_s99_d16	4096	4096	4096	99	0.372081	3.693788	369.379123	65	8	256
bench_stress_m8192_n8192_k8192_s95_d16	8192	8192	8192	95	6.391463	8.601408	172.028161	468	4	512
bench_rect_conv_m512_n3136_k512_s95_d16	512	3136	512	95	0.047433	1.733120	34.662939	33	8	256
bench_rect_bert_down_m768_n1024_k3072_s95_d16	768	1024	3072	95	0.055801	4.329534	86.590531	173	8	256
bench_rect_tfdown_m1024_n2048_k4096_s95_d16	1024	2048	4096	95	0.130236	6.595662	131.913366	233	8	256
bench_rect_rnn_m2048_n128_k8192_s95_d16	2048	128	8192	95	0.120701	1.779177	35.583527	469	4	512
bench_rect_bert_up_m3072_n1024_k768_s95_d16	3072	1024	768	95	0.097770	2.471027	49.420458	58	8	256
bench_rect_tfup_m4096_n2048_k1024_s95_d16	4096	2048	1024	95	0.226741	3.788431	75.768693	76	8	256
bench_special_m4448_n3333_k5555_s95_d16	4448	3333	5555	95	1.201090	6.856597	137.131934	324	4	512
