Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782029257196450.180	,1782029257196450.180	
0,spmm_kernel,MIX_AIC,47,0,280.200,1782029257225442.540	,1782029257225722.740	
0,spmm_kernel,MIX_AIC,47,1,287.060,1782029257225852.660	,1782029257226139.720	
0,spmm_kernel,MIX_AIC,47,2,286.520,1782029257226255.900	,1782029257226542.420	
0,spmm_kernel,MIX_AIC,47,3,292.200,1782029257226660.880	,1782029257226953.080	
0,spmm_kernel,MIX_AIC,47,4,282.380,1782029257227072.760	,1782029257227355.140	
0,spmm_kernel,MIX_AIC,47,5,285.060,1782029257227462.080	,1782029257227747.140	
0,spmm_kernel,MIX_AIC,47,6,290.840,1782029257227855.420	,1782029257228146.260	
0,spmm_kernel,MIX_AIC,47,7,285.920,1782029257228254.840	,1782029257228540.760	
0,spmm_kernel,MIX_AIC,47,8,281.040,1782029257228647.420	,1782029257228928.460	
0,spmm_kernel,MIX_AIC,47,9,286.140,1782029257229035.020	,1782029257229321.160	
0,spmm_kernel,MIX_AIC,47,10,287.460,1782029257229430.500	,1782029257229717.960	
0,spmm_kernel,MIX_AIC,47,11,286.240,1782029257229823.660	,1782029257230109.900	
0,spmm_kernel,MIX_AIC,47,12,287.360,1782029257230216.400	,1782029257230503.760	
0,spmm_kernel,MIX_AIC,47,13,286.280,1782029257230609.000	,1782029257230895.280	
0,spmm_kernel,MIX_AIC,47,14,287.420,1782029257231004.680	,1782029257231292.100	
0,spmm_kernel,MIX_AIC,47,15,283.600,1782029257231397.660	,1782029257231681.260	
0,spmm_kernel,MIX_AIC,47,16,286.980,1782029257231792.540	,1782029257232079.520	
0,spmm_kernel,MIX_AIC,47,17,289.360,1782029257232194.060	,1782029257232483.420	
0,spmm_kernel,MIX_AIC,47,18,290.080,1782029257232592.060	,1782029257232882.140	
0,spmm_kernel,MIX_AIC,47,19,287.780,1782029257232991.280	,1782029257233279.060	
0,spmm_kernel,MIX_AIC,47,20,289.980,1782029257233386.540	,1782029257233676.520	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782029257235510.420	,1782029257235510.440	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782029257235566.680	,1782029257235566.680	
