Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029262549487.370	,296.420,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,10302310,0.0,0.038,0.0,0.157,0.0,0.056,0.0,0.342,0.0,0.185,0.033,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.544
0,4294967295,1,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029262549908.870	,316.400,125.080000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,10712245,0.0,0.036,0.0,0.165,0.0,0.054,0.0,0.338,0.0,0.199,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.046
0,4294967295,2,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029262550340.190	,315.180,115.100000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,10669103,0.0,0.037,0.0,0.164,0.0,0.054,0.0,0.335,0.0,0.199,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.030
0,4294967295,3,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029262550766.570	,311.960,111.070000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,10610598,0.0,0.037,0.0,0.168,0.0,0.054,0.0,0.337,0.0,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.480
0,4294967295,4,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029262551185.270	,308.020,106.790000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,10531362,0.0,0.037,0.0,0.172,0.0,0.055,0.0,0.336,0.0,0.199,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.974
0,4294967295,5,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029262551600.450	,308.160,107.230000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,10551680,0.0,0.037,0.0,0.17,0.0,0.055,0.0,0.336,0.0,0.199,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.114
0,4294967295,6,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029262552014.790	,309.420,106.090000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,10545411,0.0,0.037,0.0,0.168,0.0,0.055,0.0,0.336,0.0,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.670
0,4294967295,7,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029262552430.030	,309.440,105.830000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,10596625,0.0,0.037,0.0,0.168,0.0,0.054,0.0,0.338,0.0,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.124
0,4294967295,8,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029262552846.910	,308.880,107.560000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,10523524,0.0,0.037,0.0,0.17,0.0,0.055,0.0,0.337,0.0,0.199,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.639
0,4294967295,9,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029262553261.530	,302.680,105.620000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,10441820,0.0,0.037,0.0,0.171,0.0,0.055,0.0,0.335,0.0,0.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.827
