Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782029274220517.400	,1782029274220517.420	
0,spmm_kernel,MIX_AIC,47,0,436.420,1782029274261734.820	,1782029274262171.240	
0,spmm_kernel,MIX_AIC,47,1,420.020,1782029274262294.400	,1782029274262714.420	
0,spmm_kernel,MIX_AIC,47,2,421.100,1782029274262835.960	,1782029274263257.060	
0,spmm_kernel,MIX_AIC,47,3,422.100,1782029274263362.800	,1782029274263784.900	
0,spmm_kernel,MIX_AIC,47,4,423.340,1782029274263890.480	,1782029274264313.820	
0,spmm_kernel,MIX_AIC,47,5,420.420,1782029274264418.840	,1782029274264839.260	
0,spmm_kernel,MIX_AIC,47,6,421.980,1782029274264944.400	,1782029274265366.380	
0,spmm_kernel,MIX_AIC,47,7,422.580,1782029274265470.560	,1782029274265893.140	
0,spmm_kernel,MIX_AIC,47,8,421.100,1782029274266005.840	,1782029274266426.940	
0,spmm_kernel,MIX_AIC,47,9,422.980,1782029274266532.340	,1782029274266955.320	
0,spmm_kernel,MIX_AIC,47,10,420.980,1782029274267066.900	,1782029274267487.880	
0,spmm_kernel,MIX_AIC,47,11,422.100,1782029274267591.260	,1782029274268013.360	
0,spmm_kernel,MIX_AIC,47,12,422.920,1782029274268118.440	,1782029274268541.360	
0,spmm_kernel,MIX_AIC,47,13,419.400,1782029274268645.800	,1782029274269065.200	
0,spmm_kernel,MIX_AIC,47,14,420.380,1782029274269168.420	,1782029274269588.800	
0,spmm_kernel,MIX_AIC,47,15,422.600,1782029274269694.240	,1782029274270116.840	
0,spmm_kernel,MIX_AIC,47,16,422.060,1782029274270219.760	,1782029274270641.820	
0,spmm_kernel,MIX_AIC,47,17,420.460,1782029274270759.900	,1782029274271180.360	
0,spmm_kernel,MIX_AIC,47,18,421.640,1782029274271291.360	,1782029274271713.000	
0,spmm_kernel,MIX_AIC,47,19,420.860,1782029274271824.340	,1782029274272245.200	
0,spmm_kernel,MIX_AIC,47,20,421.980,1782029274272352.140	,1782029274272774.120	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782029274274555.040	,1782029274274555.060	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782029274274603.360	,1782029274274603.380	
