Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782029280605842.600	,1782029280605842.620	
0,spmm_kernel,MIX_AIC,47,0,463.160,1782029280651407.220	,1782029280651870.380	
0,spmm_kernel,MIX_AIC,47,1,450.560,1782029280651995.920	,1782029280652446.480	
0,spmm_kernel,MIX_AIC,47,2,455.540,1782029280652561.460	,1782029280653017.000	
0,spmm_kernel,MIX_AIC,47,3,455.800,1782029280653133.260	,1782029280653589.060	
0,spmm_kernel,MIX_AIC,47,4,458.860,1782029280653711.260	,1782029280654170.120	
0,spmm_kernel,MIX_AIC,47,5,455.660,1782029280654274.980	,1782029280654730.640	
0,spmm_kernel,MIX_AIC,47,6,456.160,1782029280654841.040	,1782029280655297.200	
0,spmm_kernel,MIX_AIC,47,7,457.320,1782029280655404.880	,1782029280655862.200	
0,spmm_kernel,MIX_AIC,47,8,455.640,1782029280655967.380	,1782029280656423.020	
0,spmm_kernel,MIX_AIC,47,9,460.600,1782029280656527.780	,1782029280656988.380	
0,spmm_kernel,MIX_AIC,47,10,458.360,1782029280657098.420	,1782029280657556.780	
0,spmm_kernel,MIX_AIC,47,11,457.040,1782029280657661.740	,1782029280658118.780	
0,spmm_kernel,MIX_AIC,47,12,456.420,1782029280658221.160	,1782029280658677.580	
0,spmm_kernel,MIX_AIC,47,13,457.680,1782029280658783.740	,1782029280659241.420	
0,spmm_kernel,MIX_AIC,47,14,457.260,1782029280659344.420	,1782029280659801.680	
0,spmm_kernel,MIX_AIC,47,15,456.160,1782029280659915.780	,1782029280660371.940	
0,spmm_kernel,MIX_AIC,47,16,456.980,1782029280660477.740	,1782029280660934.720	
0,spmm_kernel,MIX_AIC,47,17,455.740,1782029280661040.880	,1782029280661496.620	
0,spmm_kernel,MIX_AIC,47,18,457.160,1782029280661604.260	,1782029280662061.420	
0,spmm_kernel,MIX_AIC,47,19,455.040,1782029280662169.500	,1782029280662624.540	
0,spmm_kernel,MIX_AIC,47,20,456.940,1782029280662731.940	,1782029280663188.880	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782029280664981.340	,1782029280664981.360	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782029280665031.720	,1782029280665031.720	
