Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782029318958830.270	,1782029318958830.290	
0,spmm_kernel,MIX_AIC,47,0,766.040,1782029319040105.370	,1782029319040871.410	
0,spmm_kernel,MIX_AIC,47,1,751.140,1782029319040997.970	,1782029319041749.110	
0,spmm_kernel,MIX_AIC,47,2,757.100,1782029319041875.450	,1782029319042632.550	
0,spmm_kernel,MIX_AIC,47,3,747.760,1782029319042757.370	,1782029319043505.130	
0,spmm_kernel,MIX_AIC,47,4,751.180,1782029319043615.670	,1782029319044366.850	
0,spmm_kernel,MIX_AIC,47,5,751.600,1782029319044474.050	,1782029319045225.650	
0,spmm_kernel,MIX_AIC,47,6,751.320,1782029319045333.790	,1782029319046085.110	
0,spmm_kernel,MIX_AIC,47,7,750.360,1782029319046193.510	,1782029319046943.870	
0,spmm_kernel,MIX_AIC,47,8,754.660,1782029319047060.430	,1782029319047815.090	
0,spmm_kernel,MIX_AIC,47,9,753.200,1782029319047923.850	,1782029319048677.050	
0,spmm_kernel,MIX_AIC,47,10,749.300,1782029319048791.270	,1782029319049540.570	
0,spmm_kernel,MIX_AIC,47,11,752.360,1782029319049647.210	,1782029319050399.570	
0,spmm_kernel,MIX_AIC,47,12,756.280,1782029319050507.790	,1782029319051264.070	
0,spmm_kernel,MIX_AIC,47,13,752.020,1782029319051379.510	,1782029319052131.530	
0,spmm_kernel,MIX_AIC,47,14,754.420,1782029319052237.870	,1782029319052992.290	
0,spmm_kernel,MIX_AIC,47,15,753.340,1782029319053099.130	,1782029319053852.470	
0,spmm_kernel,MIX_AIC,47,16,754.420,1782029319053962.230	,1782029319054716.650	
0,spmm_kernel,MIX_AIC,47,17,751.100,1782029319054827.110	,1782029319055578.210	
0,spmm_kernel,MIX_AIC,47,18,754.120,1782029319055685.150	,1782029319056439.270	
0,spmm_kernel,MIX_AIC,47,19,751.620,1782029319056553.890	,1782029319057305.510	
0,spmm_kernel,MIX_AIC,47,20,753.320,1782029319057418.930	,1782029319058172.250	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782029319063638.250	,1782029319063638.270	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782029319063687.030	,1782029319063687.030	
