Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782029324336261.170	,1782029324336261.190	
0,spmm_kernel,MIX_AIC,47,0,768.700,1782029324417750.030	,1782029324418518.730	
0,spmm_kernel,MIX_AIC,47,1,747.960,1782029324418652.190	,1782029324419400.150	
0,spmm_kernel,MIX_AIC,47,2,753.420,1782029324419515.270	,1782029324420268.690	
0,spmm_kernel,MIX_AIC,47,3,757.360,1782029324420381.450	,1782029324421138.810	
0,spmm_kernel,MIX_AIC,47,4,755.280,1782029324421248.450	,1782029324422003.730	
0,spmm_kernel,MIX_AIC,47,5,752.260,1782029324422111.290	,1782029324422863.550	
0,spmm_kernel,MIX_AIC,47,6,751.480,1782029324422969.570	,1782029324423721.050	
0,spmm_kernel,MIX_AIC,47,7,752.420,1782029324423825.770	,1782029324424578.190	
0,spmm_kernel,MIX_AIC,47,8,752.440,1782029324424685.590	,1782029324425438.030	
0,spmm_kernel,MIX_AIC,47,9,753.380,1782029324425541.550	,1782029324426294.930	
0,spmm_kernel,MIX_AIC,47,10,753.300,1782029324426409.490	,1782029324427162.790	
0,spmm_kernel,MIX_AIC,47,11,751.960,1782029324427276.110	,1782029324428028.070	
0,spmm_kernel,MIX_AIC,47,12,754.600,1782029324428135.910	,1782029324428890.510	
0,spmm_kernel,MIX_AIC,47,13,752.840,1782029324428995.530	,1782029324429748.370	
0,spmm_kernel,MIX_AIC,47,14,752.440,1782029324429855.410	,1782029324430607.850	
0,spmm_kernel,MIX_AIC,47,15,756.700,1782029324430713.110	,1782029324431469.810	
0,spmm_kernel,MIX_AIC,47,16,751.840,1782029324431576.770	,1782029324432328.610	
0,spmm_kernel,MIX_AIC,47,17,749.420,1782029324432435.550	,1782029324433184.970	
0,spmm_kernel,MIX_AIC,47,18,752.380,1782029324433289.710	,1782029324434042.090	
0,spmm_kernel,MIX_AIC,47,19,747.840,1782029324434147.050	,1782029324434894.890	
0,spmm_kernel,MIX_AIC,47,20,755.700,1782029324435000.770	,1782029324435756.470	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782029324441342.910	,1782029324441342.930	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782029324441395.130	,1782029324441395.130	
