Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331820779.100	,766.200,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26815199,0.0,0.052,0.0,0.165,0.0,0.074,0.0,0.398,0.0,0.301,0.011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.216
0,4294967295,1,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331821676.960	,749.880,131.800000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26203054,0.0,0.053,0.0,0.164,0.0,0.076,0.0,0.404,0.0,0.303,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.064
0,4294967295,2,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331822543.260	,757.140,116.370000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26296043,0.0,0.053,0.0,0.163,0.0,0.076,0.0,0.403,0.0,0.304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.474
0,4294967295,3,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331823411.320	,756.180,110.860000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26293995,0.0,0.053,0.0,0.164,0.0,0.076,0.0,0.402,0.0,0.304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.589
0,4294967295,4,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331824276.140	,760.300,108.820000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26375707,0.0,0.053,0.0,0.163,0.0,0.076,0.0,0.403,0.0,0.302,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.364
0,4294967295,5,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331825143.100	,751.320,106.450000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26257995,0.0,0.053,0.0,0.164,0.0,0.076,0.0,0.402,0.0,0.304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.081
0,4294967295,6,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331826005.180	,757.040,110.930000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26372132,0.0,0.053,0.0,0.164,0.0,0.076,0.0,0.401,0.0,0.303,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.766
0,4294967295,7,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331826870.340	,751.280,107.960000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26300716,0.0,0.053,0.0,0.164,0.0,0.076,0.0,0.402,0.0,0.303,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.244
0,4294967295,8,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331827730.280	,758.140,108.720000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26339443,0.0,0.053,0.0,0.164,0.0,0.076,0.0,0.402,0.0,0.304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.506
0,4294967295,9,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331828595.980	,756.520,107.610000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26330730,0.0,0.053,0.0,0.163,0.0,0.076,0.0,0.402,0.0,0.303,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.681
0,4294967295,10,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331829466.220	,759.140,113.730000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26345496,0.0,0.053,0.0,0.163,0.0,0.076,0.0,0.402,0.0,0.303,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.401
0,4294967295,11,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331830334.360	,755.300,108.860000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26319583,0.0,0.053,0.0,0.164,0.0,0.076,0.0,0.402,0.0,0.304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.796
0,4294967295,12,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331831199.620	,758.420,109.950000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26321476,0.0,0.053,0.0,0.163,0.0,0.076,0.0,0.402,0.0,0.303,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.405
0,4294967295,13,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331832075.040	,753.300,117.080000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26262021,0.0,0.053,0.0,0.163,0.0,0.076,0.0,0.403,0.0,0.304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.841
0,4294967295,14,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331832940.740	,754.640,112.450000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26307451,0.0,0.053,0.0,0.163,0.0,0.076,0.0,0.402,0.0,0.303,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.836
0,4294967295,15,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331833804.320	,756.040,108.860000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26292788,0.0,0.053,0.0,0.164,0.0,0.076,0.0,0.403,0.0,0.304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.603
0,4294967295,16,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331834666.540	,756.900,106.210000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26383158,0.0,0.053,0.0,0.163,0.0,0.076,0.0,0.401,0.0,0.304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.825
0,4294967295,17,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331835533.400	,756.760,110.100000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26350187,0.0,0.053,0.0,0.163,0.0,0.076,0.0,0.402,0.0,0.304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.722
0,4294967295,18,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331836399.980	,759.580,109.740000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26391357,0.0,0.052,0.0,0.163,0.0,0.076,0.0,0.402,0.0,0.303,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.513
0,4294967295,19,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331837269.020	,755.140,109.420000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26293569,0.0,0.053,0.0,0.164,0.0,0.076,0.0,0.402,0.0,0.304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.721
0,4294967295,20,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029331838134.900	,756.480,110.860000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,26377659,0.0,0.053,0.0,0.163,0.0,0.076,0.0,0.402,0.0,0.304,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.858
