Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782029373639989.150	,1782029373639989.170	
0,spmm_kernel,MIX_AIC,47,0,797.380,1782029373721908.490	,1782029373722705.870	
0,spmm_kernel,MIX_AIC,47,1,783.560,1782029373722839.350	,1782029373723622.910	
0,spmm_kernel,MIX_AIC,47,2,788.780,1782029373723735.470	,1782029373724524.250	
0,spmm_kernel,MIX_AIC,47,3,784.720,1782029373724632.910	,1782029373725417.630	
0,spmm_kernel,MIX_AIC,47,4,784.880,1782029373725526.770	,1782029373726311.650	
0,spmm_kernel,MIX_AIC,47,5,782.520,1782029373726420.150	,1782029373727202.670	
0,spmm_kernel,MIX_AIC,47,6,787.740,1782029373727310.090	,1782029373728097.830	
0,spmm_kernel,MIX_AIC,47,7,783.700,1782029373728202.050	,1782029373728985.750	
0,spmm_kernel,MIX_AIC,47,8,788.300,1782029373729091.950	,1782029373729880.250	
0,spmm_kernel,MIX_AIC,47,9,786.220,1782029373729994.550	,1782029373730780.770	
0,spmm_kernel,MIX_AIC,47,10,788.800,1782029373730896.730	,1782029373731685.530	
0,spmm_kernel,MIX_AIC,47,11,783.860,1782029373731793.850	,1782029373732577.710	
0,spmm_kernel,MIX_AIC,47,12,788.800,1782029373732683.150	,1782029373733471.950	
0,spmm_kernel,MIX_AIC,47,13,787.440,1782029373733582.490	,1782029373734369.930	
0,spmm_kernel,MIX_AIC,47,14,788.500,1782029373734477.790	,1782029373735266.290	
0,spmm_kernel,MIX_AIC,47,15,782.720,1782029373735374.490	,1782029373736157.210	
0,spmm_kernel,MIX_AIC,47,16,787.060,1782029373736263.990	,1782029373737051.050	
0,spmm_kernel,MIX_AIC,47,17,785.020,1782029373737155.810	,1782029373737940.830	
0,spmm_kernel,MIX_AIC,47,18,791.360,1782029373738045.610	,1782029373738836.970	
0,spmm_kernel,MIX_AIC,47,19,784.400,1782029373738941.730	,1782029373739726.130	
0,spmm_kernel,MIX_AIC,47,20,787.480,1782029373739833.850	,1782029373740621.330	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782029373746335.490	,1782029373746335.490	
0,N/A,PLACE_HOLDER_SQE,49,5,0.000,1782029373746389.690	,1782029373746389.690	
