Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.000,1782029380060225.790	,1782029380060225.790	
0,spmm_kernel,MIX_AIC,47,0,803.800,1782029380148523.610	,1782029380149327.410	
0,spmm_kernel,MIX_AIC,47,1,781.720,1782029380149461.710	,1782029380150243.430	
0,spmm_kernel,MIX_AIC,47,2,785.100,1782029380150369.990	,1782029380151155.090	
0,spmm_kernel,MIX_AIC,47,3,785.120,1782029380151284.170	,1782029380152069.290	
0,spmm_kernel,MIX_AIC,47,4,785.100,1782029380152184.110	,1782029380152969.210	
0,spmm_kernel,MIX_AIC,47,5,784.740,1782029380153081.510	,1782029380153866.250	
0,spmm_kernel,MIX_AIC,47,6,788.720,1782029380153982.790	,1782029380154771.510	
0,spmm_kernel,MIX_AIC,47,7,786.620,1782029380154886.190	,1782029380155672.810	
0,spmm_kernel,MIX_AIC,47,8,788.560,1782029380155797.870	,1782029380156586.430	
0,spmm_kernel,MIX_AIC,47,9,789.760,1782029380156702.130	,1782029380157491.890	
0,spmm_kernel,MIX_AIC,47,10,787.940,1782029380157615.350	,1782029380158403.290	
0,spmm_kernel,MIX_AIC,47,11,785.280,1782029380158515.850	,1782029380159301.130	
0,spmm_kernel,MIX_AIC,47,12,786.920,1782029380159411.770	,1782029380160198.690	
0,spmm_kernel,MIX_AIC,47,13,785.640,1782029380160309.910	,1782029380161095.550	
0,spmm_kernel,MIX_AIC,47,14,787.680,1782029380161210.350	,1782029380161998.030	
0,spmm_kernel,MIX_AIC,47,15,786.440,1782029380162106.510	,1782029380162892.950	
0,spmm_kernel,MIX_AIC,47,16,786.940,1782029380163002.330	,1782029380163789.270	
0,spmm_kernel,MIX_AIC,47,17,785.300,1782029380163901.810	,1782029380164687.110	
0,spmm_kernel,MIX_AIC,47,18,789.340,1782029380164798.410	,1782029380165587.750	
0,spmm_kernel,MIX_AIC,47,19,783.080,1782029380165705.150	,1782029380166488.230	
0,spmm_kernel,MIX_AIC,47,20,789.680,1782029380166603.510	,1782029380167393.190	
0,N/A,PROFILING_DISABLE,49,4,0.000,1782029380172946.510	,1782029380172946.510	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782029380172999.850	,1782029380172999.870	
