Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,49,3,0.020,1782029391887652.460	,1782029391887652.480	
0,spmm_kernel,MIX_AIC,47,0,791.480,1782029391968442.480	,1782029391969233.960	
0,spmm_kernel,MIX_AIC,47,1,778.680,1782029391969367.800	,1782029391970146.480	
0,spmm_kernel,MIX_AIC,47,2,780.960,1782029391970269.640	,1782029391971050.600	
0,spmm_kernel,MIX_AIC,47,3,780.000,1782029391971164.240	,1782029391971944.240	
0,spmm_kernel,MIX_AIC,47,4,780.620,1782029391972057.500	,1782029391972838.120	
0,spmm_kernel,MIX_AIC,47,5,783.080,1782029391972958.380	,1782029391973741.460	
0,spmm_kernel,MIX_AIC,47,6,779.960,1782029391973855.280	,1782029391974635.240	
0,spmm_kernel,MIX_AIC,47,7,774.880,1782029391974749.980	,1782029391975524.860	
0,spmm_kernel,MIX_AIC,47,8,785.260,1782029391975633.200	,1782029391976418.460	
0,spmm_kernel,MIX_AIC,47,9,780.160,1782029391976530.840	,1782029391977311.000	
0,spmm_kernel,MIX_AIC,47,10,776.940,1782029391977424.660	,1782029391978201.600	
0,spmm_kernel,MIX_AIC,47,11,780.900,1782029391978321.660	,1782029391979102.560	
0,spmm_kernel,MIX_AIC,47,12,782.200,1782029391979220.280	,1782029391980002.480	
0,spmm_kernel,MIX_AIC,47,13,775.240,1782029391980118.580	,1782029391980893.820	
0,spmm_kernel,MIX_AIC,47,14,780.320,1782029391981002.020	,1782029391981782.340	
0,spmm_kernel,MIX_AIC,47,15,775.380,1782029391981893.600	,1782029391982668.980	
0,spmm_kernel,MIX_AIC,47,16,781.280,1782029391982780.600	,1782029391983561.880	
0,spmm_kernel,MIX_AIC,47,17,777.100,1782029391983678.460	,1782029391984455.560	
0,spmm_kernel,MIX_AIC,47,18,780.580,1782029391984569.660	,1782029391985350.240	
0,spmm_kernel,MIX_AIC,47,19,779.940,1782029391985458.980	,1782029391986238.920	
0,spmm_kernel,MIX_AIC,47,20,784.760,1782029391986350.720	,1782029391987135.480	
0,N/A,PROFILING_DISABLE,49,4,0.020,1782029391992923.140	,1782029391992923.160	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1782029391992977.580	,1782029391992977.600	
