Device_id,Stream Id,Task Id,Hit Rate,Victim Rate,Op Name
0,47,1,N/A,0.075264,spmm_kernel
0,47,2,N/A,0.076268,spmm_kernel
0,47,3,N/A,0.075786,spmm_kernel
0,47,4,N/A,0.076449,spmm_kernel
0,47,5,N/A,0.075405,spmm_kernel
0,47,6,N/A,0.076643,spmm_kernel
0,47,7,N/A,0.075553,spmm_kernel
0,47,8,N/A,0.076299,spmm_kernel
0,47,9,N/A,0.075765,spmm_kernel
0,47,10,N/A,0.076376,spmm_kernel
0,47,11,N/A,0.075496,spmm_kernel
0,47,12,N/A,0.076549,spmm_kernel
0,47,13,N/A,0.075615,spmm_kernel
0,47,14,N/A,0.076257,spmm_kernel
0,47,15,N/A,0.075749,spmm_kernel
0,47,16,N/A,0.076384,spmm_kernel
0,47,17,N/A,0.075554,spmm_kernel
0,47,18,N/A,0.076481,spmm_kernel
0,47,19,N/A,0.075632,spmm_kernel
0,47,20,N/A,0.076267,spmm_kernel
